,Season,Domestic Comp,Domestic Rank,Domestic Match Played,Domestic W,Domestic D,Domestic L,Total GF,Total GA,Domestic GD,Domestic Pts,Ball Situation,Total Shots,GF,GA,xG,xGA
0,14/15,1. La Liga,1,38,30,4,4,110,21,89,94,Open play,487,88,14,89.02,20.45
1,14/15,1. La Liga,1,38,30,4,4,110,21,89,94,Corner kick,71,8,2,6.69,3.61
2,14/15,1. La Liga,1,38,30,4,4,110,21,89,94,Free kick,43,3,0,3.07,1.22
3,15/16,1. La Liga,1,38,29,4,5,112,29,83,91,Open play,454,84,25,88.79,29.41
4,15/16,1. La Liga,1,38,29,4,5,112,29,83,91,Corner kick,56,9,3,8.75,3.98
5,15/16,1. La Liga,1,38,29,4,5,112,29,83,91,Free kick,55,5,0,3.67,0.84
6,16/17,1. La Liga,2,38,28,6,4,116,37,79,90,Open play,493,90,25,75.63,27.46
7,16/17,1. La Liga,2,38,28,6,4,116,37,79,90,Corner kick,72,11,6,7.36,3.96
8,16/17,1. La Liga,2,38,28,6,4,116,37,79,90,Free kick,55,4,3,3.93,1.18
9,17/18,1. La Liga,1,38,28,9,1,99,29,70,93,Open play,437,80,26,78.96,34.61
10,17/18,1. La Liga,1,38,28,9,1,99,29,70,93,Corner kick,67,8,1,6.82,4.39
11,17/18,1. La Liga,1,38,28,9,1,99,29,70,93,Free kick,60,6,0,3.97,0.9
12,18/19,1. La Liga,1,38,26,9,3,90,36,54,87,Open play,436,67,31,67.08,37.67
13,18/19,1. La Liga,1,38,26,9,3,90,36,54,87,Corner kick,53,6,2,5.87,3.8
14,18/19,1. La Liga,1,38,26,9,3,90,36,54,87,Free kick,50,6,0,3.4,1.27
15,19/20,1. La Liga,2,38,25,7,6,86,38,48,82,Open play,384,67,26,60.42,25.6
16,19/20,1. La Liga,2,38,25,7,6,86,38,48,82,Corner kick,46,4,1,4.84,2.48
17,19/20,1. La Liga,2,38,25,7,6,86,38,48,82,Free kick,46,5,2,3.01,1.15
18,20/21,1. La Liga,3,38,24,7,7,85,38,47,79,Open play,455,71,26,70.13,32.12
19,20/21,1. La Liga,3,38,24,7,7,85,38,47,79,Corner kick,59,4,5,7.38,5.21
20,20/21,1. La Liga,3,38,24,7,7,85,38,47,79,Free kick,43,3,1,3.25,0.88
21,21/22,1. La Liga,2,38,21,10,7,68,38,30,73,Open play,414,55,25,56.31,26.19
22,21/22,1. La Liga,2,38,21,10,7,68,38,30,73,Corner kick,61,5,7,6.13,4.09
23,21/22,1. La Liga,2,38,21,10,7,68,38,30,73,Free kick,21,2,3,1.94,2.51
24,22/23,1. La Liga,1,38,28,4,6,70,20,50,88,Open play,442,63,15,69.21,29.72
25,22/23,1. La Liga,1,38,28,4,6,70,20,50,88,Corner kick,90,5,2,10.59,2.93
26,22/23,1. La Liga,1,38,28,4,6,70,20,50,88,Free kick,20,0,0,1.42,0.39
27,23/24,1. La Liga,2,38,26,7,5,79,44,35,85,Open play,441,61,38,67.68,36.75
28,23/24,1. La Liga,2,38,26,7,5,79,44,35,85,Corner kick,106,9,1,8.75,4.65
29,23/24,1. La Liga,2,38,26,7,5,79,44,35,85,Free kick,21,2,0,1.32,0.45
30,24/25,1. La Liga,1,38,28,4,6,102,39,63,88,Open play,518,80,32,81.01,32.95
31,24/25,1. La Liga,1,38,28,4,6,102,39,63,88,Corner kick,105,9,3,10.01,3.12
32,24/25,1. La Liga,1,38,28,4,6,102,39,63,88,Free kick,27,1,0,1.88,0.35
